date,liquidity_deficit_surplus_bln_rub,liquidity_deficit_surplus_without_correspondent_accounts_bln_rub,cbr_claims_standard_instruments_bln_rub,repo_fx_swap_auctions_bln_rub,secured_loans_auctions_bln_rub,repo_fx_swap_standing_bln_rub,secured_loans_standing_bln_rub,cbr_liabilities_standard_instruments_bln_rub,deposit_auctions_bln_rub,deposit_standing_bln_rub,cobr_bln_rub,nonstandard_refundable_operations_bln_rub,correspondent_accounts_bln_rub,required_reserves_avg_bln_rub,source_url,source_file
03-02-2014,3899.1,4215.4,4338.3,2735.9,786.1,221.1,595.3,126.0,0.0,126.0,0.0,3.1,1142.1,825.8,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
04-02-2014,3803.9,4121.9,4177.5,2695.4,786.1,94.2,601.9,58.7,0.0,58.7,0.0,3.1,1143.8,825.8,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
05-02-2014,3673.8,4063.3,4122.8,2694.5,786.1,47.5,594.7,62.6,0.0,62.6,0.0,3.1,1215.3,825.8,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
06-02-2014,3599.4,3667.5,3728.0,2344.7,786.1,4.7,592.6,63.6,0.0,63.6,0.0,3.1,893.9,825.8,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
07-02-2014,3478.1,3581.5,3646.5,2324.7,786.1,6.3,529.4,68.1,0.0,68.1,0.0,3.1,929.2,825.8,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
10-02-2014,3386.7,3481.6,3593.5,2324.5,786.1,4.0,479.0,115.0,0.0,115.0,0.0,3.1,920.7,825.8,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
11-02-2014,3379.7,3585.8,3655.4,2324.5,786.1,65.7,479.2,72.7,0.0,72.7,0.0,3.1,1052.2,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
12-02-2014,3344.1,3528.7,3594.5,2324.1,786.1,5.3,479.1,68.9,0.0,68.9,0.0,3.1,1030.7,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
13-02-2014,3302.2,3625.5,3691.4,2222.8,986.1,3.3,479.1,69.0,0.0,69.0,0.0,3.1,1169.4,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
14-02-2014,3364.4,3615.5,3692.1,2222.6,986.1,4.0,479.4,79.7,0.0,79.7,0.0,3.1,1097.2,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
17-02-2014,3432.2,3623.6,3690.5,2222.6,986.1,3.8,478.0,70.0,0.0,70.0,0.0,3.1,1037.5,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
18-02-2014,3480.5,3625.9,3691.8,2222.6,986.1,4.9,478.2,68.9,0.0,68.9,0.0,3.1,991.5,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
19-02-2014,3476.9,3621.4,3693.6,2222.5,986.1,7.1,477.9,75.2,0.0,75.2,0.0,3.1,990.6,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
20-02-2014,3523.3,3733.8,3801.8,2301.7,986.1,38.9,475.1,71.1,0.0,71.1,0.0,3.1,1056.6,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
21-02-2014,3619.5,3752.0,3819.7,2300.4,985.8,58.4,475.2,70.7,0.0,70.7,0.0,3.1,978.6,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
24-02-2014,3521.5,3727.3,3785.7,2300.4,985.8,24.1,475.4,61.5,0.0,61.5,0.0,3.1,1051.9,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
25-02-2014,3577.8,3774.8,3838.1,2300.2,985.8,76.4,475.7,66.4,0.0,66.4,0.0,3.1,1043.1,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
26-02-2014,3770.3,3838.7,3900.2,2299.6,985.8,139.1,475.7,64.6,0.0,64.6,0.0,3.1,914.5,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
27-02-2014,3683.0,4001.2,4074.5,2261.2,985.8,353.5,473.9,76.4,0.0,76.4,0.0,3.1,1164.3,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
28-02-2014,3664.8,3728.1,3802.6,2260.4,985.8,82.4,473.9,77.6,0.0,77.6,0.0,3.1,909.4,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
03-03-2014,3609.7,3764.7,3868.4,2258.7,985.7,150.7,473.2,106.9,0.0,106.9,0.0,3.1,1001.1,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
04-03-2014,3535.5,3950.7,4075.2,2258.4,985.7,358.4,472.7,127.6,0.0,127.6,0.0,3.1,1261.3,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
05-03-2014,3828.9,4103.8,4170.8,2619.1,985.7,92.2,473.7,73.0,0.0,73.0,0.0,6.0,1121.0,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
06-03-2014,3791.1,3913.5,3978.5,2412.4,985.3,106.8,474.1,71.0,0.0,71.0,0.0,6.0,968.5,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
07-03-2014,3785.7,3884.8,3949.9,2408.8,985.3,77.6,478.3,71.1,0.0,71.1,0.0,6.0,945.2,846.1,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
11-03-2014,3769.9,3839.9,3900.0,2407.9,985.3,19.7,487.0,66.0,0.0,66.0,0.0,6.0,936.0,866.0,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
12-03-2014,3788.4,3942.3,4020.3,2405.4,985.3,147.3,482.4,84.1,0.0,84.1,0.0,6.0,1019.9,866.0,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
13-03-2014,3659.9,4111.7,4172.4,2252.2,1185.3,255.1,479.9,66.7,0.0,66.7,0.0,6.0,1317.8,866.0,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
14-03-2014,3896.2,4143.1,4202.2,2244.4,1185.1,285.7,487.0,65.1,0.0,65.1,0.0,6.0,1112.9,866.0,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
17-03-2014,3945.1,4265.1,4366.6,2332.9,1184.9,368.4,480.3,107.4,0.0,107.4,0.0,6.0,1186.0,866.0,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
18-03-2014,4160.3,4400.8,4487.6,2637.4,1184.9,183.3,482.0,92.8,0.0,92.8,0.0,6.0,1106.5,866.0,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
19-03-2014,4164.6,4351.2,4435.1,2625.9,1184.9,170.4,453.9,90.0,0.0,90.0,0.0,6.0,1052.6,866.0,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
20-03-2014,4211.7,4399.2,4467.3,2589.5,1184.9,323.5,369.4,74.0,0.0,74.0,0.0,6.0,1053.5,866.0,https://www.cbr.ru/hd_base/bliquidity/,cbr_liquidity.html
