date,m1_available_date,m1_period_start,m1_averaging_period_end,m1_averaging_period_days,m1_actual_balances,m1_required_reserves_avg,m1_accounting_reserves,m1_full_reserves,m1_spread,m1_spread_relative,m1_spread_delta,m1_spread_ma3,m1_reserve_load,m1_ruonia_rate,m1_ruonia_period_avg,m1_ruonia_start,m1_flag_end_of_period,m1_spread_mad_score,m1_spread_relative_mad_score,m1_spread_delta_mad_score,m1_reserve_load_mad_score,m1_ruonia_mad_score,m1_signal,m1_signal_final,m1_reliable,m2_total_deals_volume,m2_demand_volume,m2_cover_ratio,m2_key_rate,m2_rate_for_spread,m2_rate_spread,m2_Flag_Demand,m2_MAD_score_cover,m2_MAD_score_rate_spread,m2_auction_count,m2_auction_flag,m2_rate_spread_available,m2_cover_available,m3_demand_amount,m3_offered_amount,m3_placed_amount,m3_weighted_yield,m3_cover_ratio,m3_yield_spread,m3_Flag_Nedospros,m3_Flag_Perespros,m3_MAD_score_cover,m3_MAD_score_yield_spread,m3_auction_flag,m3_cover_available,m3_yield_spread_available,m3_cover_stress_score,m3_yield_stress_score,m4_Tax_Pre_Flag,m4_Tax_Active_Flag,m4_Tax_Post_Flag,m4_Tax_Week_Flag,m4_Tax_Day_Strict,m4_is_quarter_end,m4_is_year_end,m4_is_month_end,m4_Regime_Post_ENP,m4_tax_pressure,m4_tax_proximity,m4_MAD_tax_pressure,m4_MAD_tax_proximity,m4_Seasonal_Factor_raw,m4_calendar_available,m5_liquidity_deficit_surplus_bln_rub_lag_1d,m5_liquidity_deficit_surplus_bln_rub_change_1d,m5_liquidity_deficit_surplus_bln_rub_change_5d,m5_cbr_liquidity_stress_mad_score,m5_cbr_liquidity_drain_mad_score,m5_budget_funds_total_mln_rub_lagged,m5_budget_funds_total_mln_rub_change_lagged,m5_budget_funds_total_mln_rub_pct_change_lagged,m5_budget_funds_rub_mln_rub_lagged,m5_budget_funds_rub_mln_rub_change_lagged,m5_budget_funds_rub_mln_rub_pct_change_lagged,m5_budget_funds_rub_share_lagged,m5_roskazna_auction_day_flag_lag_1d,m5_roskazna_demand_volume_mln_rub_lag_1d,m5_roskazna_cover_ratio_lag_1d,m5_roskazna_bidders_count_lag_1d,m5_roskazna_first_leg_settled_volume_mln_rub,m5_roskazna_second_leg_return_volume_mln_rub,m5_roskazna_net_flow_by_legs_mln_rub,m5_roskazna_first_leg_auctions_count,m5_roskazna_second_leg_auctions_count,m5_roskazna_net_flow_rolling_7d_mln_rub,m5_roskazna_net_flow_rolling_14d_mln_rub,m5_roskazna_net_flow_rolling_30d_mln_rub,m5_roskazna_first_leg_rolling_7d_mln_rub,m5_roskazna_first_leg_rolling_14d_mln_rub,m5_roskazna_first_leg_rolling_30d_mln_rub,m5_roskazna_second_leg_rolling_7d_mln_rub,m5_roskazna_second_leg_rolling_14d_mln_rub,m5_roskazna_second_leg_rolling_30d_mln_rub,m5_roskazna_net_flow_stress_mad_score,m5_Flag_Budget_Drain,m5_days_since_last_roskazna_auction,m5_features_available,m1_days_since_available,m1_features_available,m3_history_available
2014-02-03,2014-01-09,2013-12-10,2014-01-09,31,1242.059677419355,794.1,402.3,1196.4,447.959677419355,56.410990734083235,243.4430107526883,279.79749103942663,96.32387410609589,6.49,6.4075,6.49,0,5.0,2.056429702044112,5.0,-3.4880245261078375,1.4264658686093907,3.370723892663376,3.370723892663376,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.0,0.367879441171,,,1.15,1,,,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,25,1,0
2014-02-04,2014-01-09,2013-12-10,2014-01-09,31,1242.059677419355,794.1,402.3,1196.4,447.959677419355,56.410990734083235,243.4430107526883,279.79749103942663,96.32387410609589,6.49,6.4075,6.49,0,5.0,2.056429702044112,5.0,-3.4880245261078375,1.4264658686093907,3.370723892663376,3.370723892663376,1,2300000.0,2446973.8,1.0639016521739129,5.5,5.5,0.0,0.0,1.2780330434782572,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.263597138116,,,1.0,1,3899.1,,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,26,1,0
2014-02-05,2014-01-09,2013-12-10,2014-01-09,31,1242.059677419355,794.1,402.3,1196.4,447.959677419355,56.410990734083235,243.4430107526883,279.79749103942663,96.32387410609589,6.49,6.4075,6.49,0,5.0,2.056429702044112,5.0,-3.4880245261078375,1.4264658686093907,3.370723892663376,3.370723892663376,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.188875602838,,,1.0,1,3803.9,-95.2,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,27,1,0
2014-02-06,2014-01-09,2013-12-10,2014-01-09,31,1242.059677419355,794.1,402.3,1196.4,447.959677419355,56.410990734083235,243.4430107526883,279.79749103942663,96.32387410609589,6.49,6.4075,6.49,0,5.0,2.056429702044112,5.0,-3.4880245261078375,1.4264658686093907,3.370723892663376,3.370723892663376,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.135335283237,,,1.0,1,3673.8,-130.1,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,28,1,0
2014-02-07,2014-01-09,2013-12-10,2014-01-09,31,1242.059677419355,794.1,402.3,1196.4,447.959677419355,56.410990734083235,243.4430107526883,279.79749103942663,96.32387410609589,6.49,6.4075,6.49,0,5.0,2.056429702044112,5.0,-3.4880245261078375,1.4264658686093907,3.370723892663376,3.370723892663376,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.096971967864,,,1.0,1,3599.4,-74.4,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,29,1,0
2014-02-10,2014-02-09,2014-01-10,2014-02-09,31,1067.0774193548389,825.8,404.8,1230.6,241.2774193548389,29.21741576106066,-206.68225806451608,297.9179211469535,115.32434082843098,5.84,6.001904761904761,5.84,0,1.701102068032638,-0.8665999161742594,-5.0,-1.382336299407091,0.7754053456319276,-0.1774129188241596,-0.1774129188241596,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.263597138116,,,1.0,1,3478.1,-121.3,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,1,1,0
2014-02-11,2014-02-09,2014-01-10,2014-02-09,31,1067.0774193548389,825.8,404.8,1230.6,241.2774193548389,29.21741576106066,-206.68225806451608,297.9179211469535,115.32434082843098,5.84,6.001904761904761,5.84,0,1.701102068032638,-0.8665999161742594,-5.0,-1.382336299407091,0.7754053456319276,-0.1774129188241596,-0.1774129188241596,1,2180000.0,2405377.8,1.1033843119266054,5.5,5.5028,0.0027999999999996,0.0,2.067686238532107,0.0559999999999938,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0.0,0.367879441171,,,1.15,1,3386.7,-91.4,-512.4,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,2,1,0
2014-02-12,2014-02-09,2014-01-10,2014-02-09,31,1067.0774193548389,825.8,404.8,1230.6,241.2774193548389,29.21741576106066,-206.68225806451608,297.9179211469535,115.32434082843098,5.84,6.001904761904761,5.84,0,1.701102068032638,-0.8665999161742594,-5.0,-1.382336299407091,0.7754053456319276,-0.1774129188241596,-0.1774129188241596,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0.0,0.513417119033,,,1.15,1,3379.7,-7.0,-424.2,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,3,1,0
2014-02-13,2014-02-09,2014-01-10,2014-02-09,31,1067.0774193548389,825.8,404.8,1230.6,241.2774193548389,29.21741576106066,-206.68225806451608,297.9179211469535,115.32434082843098,5.84,6.001904761904761,5.84,0,1.701102068032638,-0.8665999161742594,-5.0,-1.382336299407091,0.7754053456319276,-0.1774129188241596,-0.1774129188241596,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0.0,0.716531310574,,,1.15,1,3344.1,-35.6,-329.7,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,4,1,0
2014-02-14,2014-02-09,2014-01-10,2014-02-09,31,1067.0774193548389,825.8,404.8,1230.6,241.2774193548389,29.21741576106066,-206.68225806451608,297.9179211469535,115.32434082843098,5.84,6.001904761904761,5.84,0,1.701102068032638,-0.8665999161742594,-5.0,-1.382336299407091,0.7754053456319276,-0.1774129188241596,-0.1774129188241596,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0,0,1.0,1.0,,,1.15,1,3302.2,-41.9,-297.2,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,1,5,1,0
