date,episode,lsi_global_backtest,global_status,global_drivers,global_train_rows,lsi_local_backtest,local_status,local_drivers,local_train_rows
2014-12-01,Декабрь 2014,53.33,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m1_spread_delta_mad_score",207,53.33,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m1_spread_delta_mad_score",207
2014-12-02,Декабрь 2014,55.69,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",208,55.69,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",208
2014-12-03,Декабрь 2014,58.66,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",209,58.66,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",209
2014-12-04,Декабрь 2014,55.64,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",210,55.64,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",210
2014-12-05,Декабрь 2014,55.9,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",211,55.9,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",211
2014-12-08,Декабрь 2014,59.49,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",212,59.49,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_Tax_Week_Flag",212
2014-12-09,Декабрь 2014,58.98,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m2_MAD_score_rate_spread",213,58.98,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m2_MAD_score_rate_spread",213
2014-12-10,Декабрь 2014,63.08,КРАСНЫЙ (Стресс ликвидности),"m1_signal, m1_signal_final, m4_Tax_Day_Strict",214,63.08,КРАСНЫЙ (Стресс ликвидности),"m1_signal, m1_signal_final, m4_Tax_Day_Strict",214
2014-12-11,Декабрь 2014,58.51,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m1_spread_mad_score",215,58.51,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m1_spread_mad_score",215
2014-12-12,Декабрь 2014,57.06,ЖЕЛТЫЙ (Повышенное внимание),"m4_MAD_tax_proximity, m4_MAD_tax_pressure, m1_signal",216,57.06,ЖЕЛТЫЙ (Повышенное внимание),"m4_MAD_tax_proximity, m4_MAD_tax_pressure, m1_signal",216
2014-12-15,Декабрь 2014,49.76,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_MAD_tax_pressure",217,49.76,ЖЕЛТЫЙ (Повышенное внимание),"m1_signal, m1_signal_final, m4_MAD_tax_pressure",217
