date,lsi_global,lsi_global_raw,lsi_global_smoothed,lsi_global_status,lsi_global_contrib_m1,lsi_global_contrib_m2,lsi_global_contrib_m3,lsi_global_contrib_m4,lsi_global_contrib_m5,lsi_local,lsi_local_raw,lsi_local_smoothed,lsi_local_status,lsi_local_contrib_m1,lsi_local_contrib_m2,lsi_local_contrib_m3,lsi_local_contrib_m4,lsi_local_contrib_m5
2014-02-03,20.66,-0.12720993635900663,-0.12720993635900663,ЗЕЛЕНЫЙ (Норма),73.02,2.45,5.03,16.13,3.37,,,,,,,,,
2014-02-04,22.02,-0.09176694303849137,-0.12543778669298086,ЗЕЛЕНЫЙ (Норма),57.36,14.31,3.95,21.74,2.65,,,,,,,,,
2014-02-05,21.57,-0.1370921399238887,-0.12602050435452625,ЗЕЛЕНЫЙ (Норма),65.46,2.19,4.51,24.81,3.02,,,,,,,,,
2014-02-06,21.15,-0.1370921399238887,-0.12657408613299437,ЗЕЛЕНЫЙ (Норма),65.46,2.19,4.51,24.81,3.02,,,,,,,,,
2014-02-07,20.74,-0.1370921399238887,-0.1270999888225391,ЗЕЛЕНЫЙ (Норма),65.46,2.19,4.51,24.81,3.02,,,,,,,,,
2014-02-10,20.06,-0.14481717298305147,-0.1279858480305647,ЗЕЛЕНЫЙ (Норма),36.95,4.0,8.24,45.29,5.51,,,,,,,,,
2014-02-11,20.3,-0.12175215505072373,-0.12767416338157264,ЗЕЛЕНЫЙ (Норма),33.95,29.16,7.57,24.25,5.07,,,,,,,,,
2014-02-12,18.88,-0.16476774526942467,-0.12952884247596524,ЗЕЛЕНЫЙ (Норма),45.56,4.94,10.16,32.54,6.8,,,,,,,,,
2014-02-13,17.64,-0.16196743184753754,-0.13115077194454386,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-02-14,16.46,-0.16196743184753754,-0.13269160493969354,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-02-17,15.34,-0.16196743184753754,-0.13415539628508574,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-02-18,15.76,-0.12300416891010785,-0.13359783491633684,ЗЕЛЕНЫЙ (Норма),34.13,28.52,7.61,24.64,5.09,,,,,,,,,
2014-02-19,14.68,-0.16196743184753754,-0.13501631476289686,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-02-20,13.64,-0.16196743184753754,-0.13636387061712887,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-02-21,12.66,-0.16196743184753754,-0.1376440486786493,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-02-24,11.73,-0.16196743184753754,-0.1388602178370937,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-02-25,12.68,-0.11418616216620353,-0.1376265150535492,ЗЕЛЕНЫЙ (Норма),32.76,31.39,7.31,23.66,4.89,,,,,,,,,
2014-02-26,11.75,-0.16196743184753754,-0.13884356089324862,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-02-27,10.86,-0.16196743184753754,-0.13999975444096305,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-02-28,10.02,-0.16196743184753754,-0.14109813831129175,ЗЕЛЕНЫЙ (Норма),45.4,4.92,10.12,32.78,6.77,,,,,,,,,
2014-03-03,9.11,-0.16476774526942467,-0.1422816186591984,ЗЕЛЕНЫЙ (Норма),45.56,4.94,10.16,32.54,6.8,,,,,,,,,
2014-03-04,9.91,-0.12132604847706069,-0.1412338401500915,ЗЕЛЕНЫЙ (Норма),29.85,22.46,6.66,36.59,4.45,,,,,,,,,
2014-03-05,9.78,-0.14481717298305147,-0.1414130067917395,ЗЕЛЕНЫЙ (Норма),36.95,4.0,8.24,45.29,5.51,,,,,,,,,
2014-03-06,9.65,-0.14481717298305147,-0.1415832151013051,ЗЕЛЕНЫЙ (Норма),36.95,4.0,8.24,45.29,5.51,,,,,,,,,
2014-03-07,9.52,-0.14481717298305147,-0.1417449129953924,ЗЕЛЕНЫЙ (Норма),36.95,4.0,8.24,45.29,5.51,,,,,,,,,
2014-03-11,10.48,-0.11668024105755909,-0.14049167939850074,ЗЕЛЕНЫЙ (Норма),35.75,30.09,7.01,22.46,4.69,,,,,,,,,
2014-03-12,9.58,-0.1640472676228955,-0.14166945880972048,ЗЕЛЕНЫЙ (Норма),48.76,4.65,9.56,30.63,6.4,,,,,,,,,
2014-03-13,8.63,-0.16653944566235124,-0.14291295815235203,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-14,7.72,-0.16653944566235124,-0.14409428252785197,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-17,6.86,-0.16653944566235124,-0.14521654068457693,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-18,7.48,-0.12920048485560087,-0.14441573789312812,ЗЕЛЕНЫЙ (Норма),38.11,25.22,7.47,24.2,5.0,,,,,,,,,
2014-03-19,6.63,-0.16653944566235124,-0.14552192328158928,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-20,5.82,-0.16653944566235124,-0.14657279940062737,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-21,5.06,-0.16653944566235124,-0.14757113171371355,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-24,4.33,-0.16653944566235124,-0.14851954741114543,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-25,5.07,-0.12920048485560087,-0.1475535942833682,ЗЕЛЕНЫЙ (Норма),38.11,25.22,7.47,24.2,5.0,,,,,,,,,
2014-03-26,4.34,-0.16653944566235124,-0.14850288685231736,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-27,3.65,-0.16653944566235124,-0.14940471479281905,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-28,3.0,-0.16653944566235124,-0.15026145133629565,ЗЕЛЕНЫЙ (Норма),48.6,4.63,9.53,30.86,6.38,,,,,,,,,
2014-03-31,2.48,-0.16372973806520724,-0.15093486567274123,ЗЕЛЕНЫЙ (Норма),41.91,4.0,8.22,40.37,5.5,,,,,,,,,
2014-04-01,3.31,-0.12920048485560087,-0.1498481466318842,ЗЕЛЕНЫЙ (Норма),38.11,25.22,7.47,24.2,5.0,,,,,,,,,
2014-04-02,2.77,-0.1640472676228955,-0.15055810268143477,ЗЕЛЕНЫЙ (Норма),48.76,4.65,9.56,30.63,6.4,,,,,,,,,
2014-04-03,2.25,-0.1640472676228955,-0.15123256092850781,ЗЕЛЕНЫЙ (Норма),48.76,4.65,9.56,30.63,6.4,,,,,,,,,
2014-04-04,2.56,-0.1433318560988976,-0.1508375256870273,ЗЕЛЕНЫЙ (Норма),39.99,3.81,7.84,43.11,5.25,,,,,,,,,
2014-04-07,2.84,-0.1433318560988976,-0.1504622422076208,ЗЕЛЕНЫЙ (Норма),39.99,3.81,7.84,43.11,5.25,,,,,,,,,
2014-04-08,4.59,-0.10477744062165911,-0.14817800212832272,ЗЕЛЕНЫЙ (Норма),32.7,21.35,6.41,35.25,4.29,,,,,,,,,
2014-04-09,4.0,-0.16370197375820728,-0.14895420070981694,ЗЕЛЕНЫЙ (Норма),33.86,4.2,8.64,47.51,5.78,,,,,,,,,
2014-04-10,3.43,-0.16370197375820728,-0.14969158936223645,ЗЕЛЕНЫЙ (Норма),33.86,4.2,8.64,47.51,5.78,,,,,,,,,
2014-04-11,2.84,-0.16522027178091953,-0.1504680234831706,ЗЕЛЕНЫЙ (Норма),42.24,5.24,10.78,34.53,7.21,,,,,,,,,
2014-04-14,2.19,-0.16746681773897915,-0.15131796319596102,ЗЕЛЕНЫЙ (Норма),42.08,5.22,10.74,34.78,7.19,,,,,,,,,
2014-04-15,3.76,-0.11033923225474196,-0.14926902664890007,ЗЕЛЕНЫЙ (Норма),30.16,32.05,7.7,24.93,5.15,,,,,,,,,
2014-04-16,3.06,-0.16746681773897915,-0.150178916203404,ЗЕЛЕНЫЙ (Норма),42.08,5.22,10.74,34.78,7.19,,,,,,,,,
2014-04-17,2.4,-0.16746681773897915,-0.15104331128018275,ЗЕЛЕНЫЙ (Норма),42.08,5.22,10.74,34.78,7.19,,,,,,,,,
2014-04-18,1.77,-0.16746681773897915,-0.15186448660312257,ЗЕЛЕНЫЙ (Норма),42.08,5.22,10.74,34.78,7.19,,,,,,,,,
2014-04-21,1.17,-0.16746681773897915,-0.1526446031599154,ЗЕЛЕНЫЙ (Норма),42.08,5.22,10.74,34.78,7.19,,,,,,,,,
2014-04-22,2.46,-0.11900602017455048,-0.15096267401064714,ЗЕЛЕНЫЙ (Норма),32.12,27.66,8.2,26.54,5.49,,,,,,,,,
2014-04-23,1.91,-0.16522027178091953,-0.15167555389916076,ЗЕЛЕНЫЙ (Норма),42.24,5.24,10.78,34.53,7.21,,,,,,,,,
2014-04-24,1.31,-0.16746681773897915,-0.15246511709115168,ЗЕЛЕНЫЙ (Норма),42.08,5.22,10.74,34.78,7.19,,,,,,,,,
2014-04-25,0.73,-0.16746681773897915,-0.15321520212354306,ЗЕЛЕНЫЙ (Норма),42.08,5.22,10.74,34.78,7.19,,,,,,,,,
2014-04-28,0.19,-0.16746681773897915,-0.15392778290431486,ЗЕЛЕНЫЙ (Норма),42.08,5.22,10.74,34.78,7.19,,,,,,,,,
2014-04-29,1.53,-0.11900602017455048,-0.15218169476782664,ЗЕЛЕНЫЙ (Норма),32.12,27.66,8.2,26.54,5.49,,,,,,,,,
2014-04-30,0.94,-0.16746681773897915,-0.15294595091638427,ЗЕЛЕНЫЙ (Норма),42.08,5.22,10.74,34.78,7.19,,,,,,,,,
2014-05-05,0.53,-0.16370197375820728,-0.15348375205847542,ЗЕЛЕНЫЙ (Норма),33.86,4.2,8.64,47.51,5.78,,,,,,,,,
2014-05-06,1.85,-0.11901444950895396,-0.15176028693099933,ЗЕЛЕНЫЙ (Норма),27.1,23.34,6.92,38.02,4.63,,,,,,,,,
2014-05-07,1.39,-0.16370197375820728,-0.1523573712723597,ЗЕЛЕНЫЙ (Норма),33.86,4.2,8.64,47.51,5.78,,,,,,,,,
2014-05-08,0.96,-0.16370197375820728,-0.1529246013966521,ЗЕЛЕНЫЙ (Норма),33.86,4.2,8.64,47.51,5.78,,,,,,,,,
2014-05-12,0.41,-0.16708847657354525,-0.15363279515549674,ЗЕЛЕНЫЙ (Норма),45.08,4.98,10.25,32.83,6.86,,,,,,,,,
2014-05-13,2.21,-0.10679934907483474,-0.15129112285146365,ЗЕЛЕНЫЙ (Норма),34.24,27.82,7.79,24.94,5.21,,,,,,,,,
2014-05-14,1.73,-0.16371481282741757,-0.15191230735026134,ЗЕЛЕНЫЙ (Норма),44.91,4.96,10.21,33.07,6.84,,,,,,,,,
2014-05-15,1.28,-0.16371481282741757,-0.15250243262411914,ЗЕЛЕНЫЙ (Норма),44.91,4.96,10.21,33.07,6.84,,,,,,,,,
2014-05-16,0.85,-0.16371481282741757,-0.15306305163428405,ЗЕЛЕНЫЙ (Норма),44.91,4.96,10.21,33.07,6.84,,,,,,,,,
2014-05-19,0.44,-0.16371481282741757,-0.15359563969394072,ЗЕЛЕНЫЙ (Норма),44.91,4.96,10.21,33.07,6.84,,,,,,,,,
2014-05-20,2.04,-0.11199230509026986,-0.15151547296375717,ЗЕЛЕНЫЙ (Норма),34.68,26.61,7.89,25.54,5.28,,,,,,,,,
2014-05-21,1.57,-0.16371481282741757,-0.1521254399569402,ЗЕЛЕНЫЙ (Норма),44.91,4.96,10.21,33.07,6.84,,,,,,,,,
2014-05-22,1.0,-0.16708847657354525,-0.15287359178777044,ЗЕЛЕНЫЙ (Норма),45.08,4.98,10.25,32.83,6.86,,,,,,,,,
2014-05-23,0.45,-0.16708847657354525,-0.15358433602705918,ЗЕЛЕНЫЙ (Норма),45.08,4.98,10.25,32.83,6.86,,,,,,,,,
2014-05-26,0.06,-0.16371481282741757,-0.1540908598670771,ЗЕЛЕНЫЙ (Норма),44.91,4.96,10.21,33.07,6.84,,,,,,,,,
2014-05-27,1.68,-0.11199230509026986,-0.15198593212823674,ЗЕЛЕНЫЙ (Норма),34.68,26.61,7.89,25.54,5.28,,,,,,,,,
2014-05-28,1.23,-0.16371481282741757,-0.15257237616319577,ЗЕЛЕНЫЙ (Норма),44.91,4.96,10.21,33.07,6.84,,,,,,,,,
2014-05-29,0.8,-0.16371481282741757,-0.15312949799640685,ЗЕЛЕНЫЙ (Норма),44.91,4.96,10.21,33.07,6.84,,,,,,,,,
2014-05-30,0.27,-0.16708847657354525,-0.15382744692526376,ЗЕЛЕНЫЙ (Норма),45.08,4.98,10.25,32.83,6.86,,,,,,,,,
2014-06-02,0.0,-0.1607540468953113,-0.15417377692376613,ЗЕЛЕНЫЙ (Норма),36.49,4.03,8.3,45.62,5.55,,,,,,,,,
2014-06-03,1.65,-0.11100143088920394,-0.15201515962203802,ЗЕЛЕНЫЙ (Норма),29.44,22.59,6.69,36.8,4.48,,,,,,,,,
2014-06-04,1.32,-0.1607540468953113,-0.15245210398570166,ЗЕЛЕНЫЙ (Норма),36.49,4.03,8.3,45.62,5.55,,,,,,,,,
2014-06-05,1.0,-0.1607540468953113,-0.15286720113118213,ЗЕЛЕНЫЙ (Норма),36.49,4.03,8.3,45.62,5.55,,,,,,,,,
2014-06-06,0.7,-0.1607540468953113,-0.15326154341938858,ЗЕЛЕНЫЙ (Норма),36.49,4.03,8.3,45.62,5.55,,,,,,,,,
2014-06-09,0.69,-0.15338368220241222,-0.15326765035853976,ЗЕЛЕНЫЙ (Норма),37.66,3.96,8.15,44.78,5.45,,,,,,,,,
2014-06-10,2.6,-0.10342491227554551,-0.15077551345439005,ЗЕЛЕНЫЙ (Норма),30.49,22.25,6.59,36.25,4.41,,,,,,,,,
2014-06-11,2.5,-0.15338368220241222,-0.15090592189179117,ЗЕЛЕНЫЙ (Норма),37.66,3.96,8.15,44.78,5.45,,,,,,,,,
2014-06-16,2.08,-0.1620689641465612,-0.15146407400452966,ЗЕЛЕНЫЙ (Норма),46.16,4.85,9.98,32.33,6.68,,,,,,,,,
2014-06-17,3.54,-0.11315975862287525,-0.14954885823544692,ЗЕЛЕНЫЙ (Норма),35.66,26.5,7.71,24.97,5.16,,,,,,,,,
