date,averaging_period_end,averaging_period_days,actual_balances,required_reserves_avg,accounting_reserves,full_reserves,spread,spread_relative,spread_delta,spread_ma3,reserve_load,ruonia_rate,ruonia_period_avg,ruonia_start,flag_end_of_period,spread_mad_score,spread_relative_mad_score,spread_delta_mad_score,reserve_load_mad_score,ruonia_mad_score,m1_signal,m1_signal_final,m1_reliable
01-09-2004,30-09-2004,30,195.45666666666665,8.7,116.0,124.7,186.75666666666666,2146.6283524904215,,,63.7993076044136,,,,1,,,,,,0.0,0.0,0
01-10-2004,31-10-2004,31,231.54032258064515,9.1,117.3,126.39999999999999,222.44032258064516,2444.399149237859,35.6836559139785,,54.59092333948661,,,,1,,,,,,0.0,0.0,0
01-11-2004,30-11-2004,30,282.4883333333334,11.5,118.9,130.4,270.9883333333334,2356.420289855073,48.54801075268824,226.72844086021507,46.16119839757393,,,,1,,,,,,0.0,0.0,0
01-12-2004,31-12-2004,31,368.25967741935483,12.0,121.7,133.7,356.25967741935483,2968.8306451612902,85.27134408602143,283.2294444444445,36.30590265459594,,,,1,,,,,,0.0,0.0,0
01-01-2005,31-01-2005,31,356.6758064516129,12.7,171.6,184.29999999999998,343.9758064516129,2708.4709169418343,-12.283870967741905,323.7412724014337,51.671573082993035,,,,1,,,,,,0.0,0.0,0
01-02-2005,28-02-2005,28,265.6303571428571,13.2,129.1,142.29999999999998,252.43035714285713,1912.3511904761906,-91.54544930875579,317.5552803379416,53.57068428872023,,,,1,,,,,,0.0,0.0,0
01-03-2005,31-03-2005,31,286.12580645161296,13.4,133.2,146.6,272.725806451613,2035.26721232547,20.29544930875585,289.7106566820277,51.23620333938375,,,,1,,,,,,0.0,0.0,0
01-04-2005,30-04-2005,30,258.43000000000006,12.9,134.4,147.3,245.53000000000006,1903.333333333334,-27.195806451612924,256.8953878648234,56.99802654490577,,,,1,,,,,,0.0,0.0,0
01-05-2005,31-05-2005,31,239.0129032258064,14.4,135.1,149.5,224.6129032258064,1559.811827956989,-20.917096774193652,247.62290322580648,62.54892433935273,,,,1,,,,,,0.0,0.0,0
01-06-2005,30-06-2005,30,242.8233333333333,15.1,137.2,152.29999999999998,227.7233333333333,1508.101545253863,3.110430107526895,232.62207885304656,62.72049638282977,,,,1,,,,,,0.0,0.0,0
01-07-2005,31-07-2005,31,246.86612903225807,15.8,142.0,157.8,231.06612903225806,1462.4438546345448,3.3427956989247605,227.8007885304659,63.92128422744467,,,,1,,,,,,0.0,0.0,0
01-08-2005,31-08-2005,31,267.33225806451617,16.3,144.7,161.0,251.03225806451616,1540.0752028497923,19.966129032258095,236.60724014336915,60.22468113860967,,,,1,,,,,,0.0,0.0,0
01-09-2005,30-09-2005,30,297.8116666666666,16.8,150.0,166.8,281.0116666666666,1672.6884920634916,29.979408602150443,254.37001792114697,56.00855126562091,,,,1,,,,,,0.0,0.0,0
01-10-2005,31-10-2005,31,317.6854838709677,16.9,154.6,171.5,300.7854838709677,1779.7957625501049,19.77381720430111,277.6098028673835,53.98421039270937,,,,1,,,,,,0.0,0.0,0
01-11-2005,30-11-2005,30,274.835,16.5,159.8,176.3,258.335,1565.6666666666665,-42.45048387096773,280.0440501792114,64.14757945676499,,,,1,,,,,,0.0,0.0,0
01-12-2005,31-12-2005,31,366.5193548387097,17.9,161.3,179.20000000000002,348.61935483870974,1947.5941611101102,90.28435483870976,302.5799462365592,48.89237024845759,,,,1,,,,,,0.0,0.0,0
01-01-2006,31-01-2006,31,399.04193548387104,19.2,171.6,190.79999999999998,379.84193548387105,1978.3434139784952,31.222580645161315,328.93209677419355,47.81452349579233,,,,1,,,,,,0.0,0.0,0
01-02-2006,28-02-2006,28,326.26785714285717,19.2,168.3,187.5,307.0678571428572,1599.3117559523812,-72.77407834101388,345.1763824884793,57.46811887690876,,,,1,,,,,,0.0,0.0,0
01-03-2006,31-03-2006,31,325.8451612903226,19.5,172.1,191.6,306.3451612903226,1571.0008271298595,-0.7226958525345708,331.0849846390169,58.800934542430596,,,,1,,,,,,0.0,0.0,0
01-04-2006,30-04-2006,30,323.41666666666663,20.2,176.1,196.29999999999998,303.21666666666664,1501.072607260726,-3.1284946236559676,305.5432283666155,60.69569698531306,,,,1,,,,,,0.0,0.0,0
01-05-2006,31-05-2006,31,353.9483870967741,20.7,183.1,203.79999999999998,333.24838709677414,1609.8955898394888,30.031720430107498,314.2700716845878,57.579016441252605,,,,1,,,,,,0.0,0.0,0
01-06-2006,30-06-2006,30,365.7316666666666,21.6,190.2,211.79999999999998,344.1316666666666,1593.2021604938268,10.883279569892466,326.8655734767024,57.91131020465824,,,,1,,,,,,0.0,0.0,0
01-07-2006,31-07-2006,31,388.3499999999999,22.5,193.9,216.4,365.8499999999999,1625.9999999999995,21.718333333333305,347.74335125448016,55.72293034633709,,,,1,,,,,,0.0,0.0,0
01-08-2006,31-08-2006,31,357.31935483870967,23.7,204.2,227.89999999999998,333.6193548387097,1407.6766026949776,-32.23064516129023,347.8670071684587,63.78048009822243,,,,1,,,,,,0.0,0.0,0
01-09-2006,30-09-2006,30,356.32666666666665,23.9,205.8,229.70000000000002,332.4266666666667,1390.9065550906555,-1.192688172043006,343.96534050179207,64.46332017437184,,,,1,,,,,,0.0,0.0,0
01-10-2006,31-10-2006,31,359.7225806451612,38.0,207.2,245.2,321.7225806451612,846.6383701188454,-10.704086021505475,329.25620071684585,68.16363864626864,,,,1,,,,,,0.0,0.0,0
01-11-2006,30-11-2006,30,337.58166666666676,40.3,212.7,253.0,297.28166666666675,737.6716294458233,-24.44091397849445,317.14363799283154,74.9448281650366,,,,1,,,,,,0.0,0.0,0
01-12-2006,31-12-2006,31,492.6870967741936,43.2,221.1,264.3,449.4870967741936,1040.4793906810037,152.20543010752687,356.1637813620072,53.64459547052699,,,,1,,,,,,0.0,0.0,0
