date,actual_balances,required_reserves_avg,averaging_period_days,spread
2004-09-01,195.45666666666665,8.7,30,186.75666666666666
2004-10-01,231.54032258064515,9.1,31,222.44032258064516
2004-11-01,282.4883333333334,11.5,30,270.9883333333334
2004-12-01,368.25967741935483,12.0,31,356.25967741935483
2005-01-01,356.6758064516129,12.7,31,343.9758064516129
2005-02-01,265.6303571428571,13.2,28,252.43035714285713
2005-03-01,286.12580645161296,13.4,31,272.725806451613
2005-04-01,258.43000000000006,12.9,30,245.53000000000006
2005-05-01,239.0129032258064,14.4,31,224.6129032258064
2005-06-01,242.8233333333333,15.1,30,227.7233333333333
2005-07-01,246.86612903225807,15.8,31,231.06612903225806
2005-08-01,267.33225806451617,16.3,31,251.03225806451616
2005-09-01,297.8116666666666,16.8,30,281.0116666666666
2005-10-01,317.6854838709677,16.9,31,300.7854838709677
2005-11-01,274.835,16.5,30,258.335
2005-12-01,366.5193548387097,17.9,31,348.61935483870974
2006-01-01,399.04193548387104,19.2,31,379.84193548387105
2006-02-01,326.26785714285717,19.2,28,307.0678571428572
2006-03-01,325.8451612903226,19.5,31,306.3451612903226
2006-04-01,323.41666666666663,20.2,30,303.21666666666664
2006-05-01,353.9483870967741,20.7,31,333.24838709677414
2006-06-01,365.7316666666666,21.6,30,344.1316666666666
2006-07-01,388.3499999999999,22.5,31,365.8499999999999
2006-08-01,357.31935483870967,23.7,31,333.6193548387097
2006-09-01,356.32666666666665,23.9,30,332.4266666666667
2006-10-01,359.7225806451612,38.0,31,321.7225806451612
2006-11-01,337.58166666666676,40.3,30,297.28166666666675
2006-12-01,492.6870967741936,43.2,31,449.4870967741936
2007-01-01,506.716129032258,46.5,31,460.216129032258
2007-02-01,405.04642857142863,71.2,28,333.84642857142865
2007-03-01,595.0354838709678,73.4,31,521.6354838709678
2007-04-01,426.55,76.8,30,349.75
2007-05-01,430.23225806451615,81.7,31,348.53225806451616
2007-06-01,470.68,90.0,30,380.68
2007-07-01,480.4548387096775,112.9,31,367.5548387096775
2007-08-01,445.38548387096773,118.9,31,326.48548387096776
2007-09-01,466.82166666666666,118.6,30,348.2216666666667
2007-10-01,491.0822580645161,96.8,31,394.2822580645161
2007-11-01,510.56666666666655,122.5,30,388.06666666666655
2007-12-01,704.7806451612904,124.1,31,580.6806451612904
2008-01-01,673.1822580645161,130.8,31,542.382258064516
2008-02-01,521.343103448276,178.5,29,342.843103448276
2008-03-01,556.333870967742,225.9,31,330.433870967742
2008-04-01,550.2016666666669,227.9,30,322.30166666666696
2008-05-01,580.0983870967742,239.2,31,340.89838709677423
2008-06-01,607.4316666666667,243.2,30,364.23166666666674
2008-07-01,606.109677419355,312.6,31,293.50967741935494
2008-08-01,618.6161290322582,319.6,31,299.01612903225816
2008-09-01,731.9016666666668,150.4,30,581.5016666666668
2008-10-01,581.0548387096775,42.1,31,538.9548387096775
2008-11-01,590.0933333333335,37.6,30,552.4933333333335
2008-12-01,644.1112903225807,37.5,31,606.6112903225807
2009-01-01,681.2741935483872,37.0,31,644.2741935483872
2009-02-01,413.47499999999997,39.1,28,374.37499999999994
2009-03-01,397.4209677419355,41.8,31,355.6209677419355
2009-04-01,388.27666666666676,40.9,30,347.3766666666668
2009-05-01,400.1758064516129,39.8,31,360.3758064516129
2009-06-01,419.2733333333334,78.8,30,340.4733333333334
2009-07-01,406.241935483871,121.7,31,284.541935483871
2009-08-01,465.2096774193549,163.2,31,302.0096774193549
2009-09-01,501.8866666666668,199.9,30,301.9866666666668
2009-10-01,535.8499999999999,199.7,31,336.1499999999999
