date,auction_type,term_days,tier,auction_time,total_deals_volume,weighted_average_rate,settlement_code,demand_volume,cutoff_rate,min_rate,max_rate,limit_deals_volume,weighted_average_limit_rate,first_leg_date,second_leg_date,cover_ratio,key_rate,rate_for_spread,rate_spread,Flag_Demand,MAD_score_cover,MAD_score_rate_spread,MAD_score_cover_tier,MAD_score_rate_spread_tier
11-01-2010,репо,1,short,11:30,43187.4,6.07,S0,43187.4,,,,43187.4,6.07,,12-01-2010,1.0,,6.07,,0,0.0,,0.0,
11-01-2010,репо,364,base,13:30,0.0,0.0,S2,,,,,,,,,1.0,,0.0,,0,0.0,,0.0,
11-01-2010,репо,1,short,16:00,582.8,6.02,S0,582.8,,,,582.8,6.02,,12-01-2010,1.0,,6.02,,0,0.0,,0.0,
12-01-2010,репо,1,short,11:30,33170.2,6.06,S0,38736.7,,,,33170.2,6.06,,13-01-2010,1.1678162929376368,,6.06,,0,3.3563258587527356,,3.3563258587527356,
12-01-2010,репо,7,base,13:45,78127.6,6.08,S1,78127.6,,,,78127.6,6.08,,20-01-2010,1.0,,6.08,,0,0.0,,0.0,
12-01-2010,репо,1,short,16:00,1231.4,6.36,S0,1231.4,,,,1231.4,6.36,,13-01-2010,1.0,,6.36,,0,0.0,,0.0,
13-01-2010,репо,1,short,11:30,15577.2,6.07,S0,15577.2,,,,15577.2,6.07,,14-01-2010,1.0,,6.07,,0,0.0,,0.0,
13-01-2010,репо,1,short,16:00,0.0,0.0,S0,,,,,,,,,1.0,,0.0,,0,0.0,,0.0,
14-01-2010,репо,1,short,11:30,9679.1,6.09,S0,13570.5,,,,9679.1,6.09,,15-01-2010,1.402041512124061,,6.09,,0,8.04083024248122,,8.04083024248122,
14-01-2010,репо,1,short,16:00,0.0,0.0,S0,,,,,,,,,1.0,,0.0,,0,0.0,,0.0,
15-01-2010,репо,3,short,11:30,9124.7,6.1,S0,9124.7,,,,9124.7,6.1,,18-01-2010,1.0,,6.1,,0,0.0,,0.0,
15-01-2010,репо,3,short,16:00,0.0,0.0,S0,,,,,,,,,1.0,,0.0,,0,0.0,,0.0,
18-01-2010,репо,1,short,11:30,8433.5,6.06,S0,8433.5,,,,8433.5,6.06,,19-01-2010,1.0,,6.06,,0,0.0,,0.0,
18-01-2010,репо,91,base,13:30,0.0,0.0,S2,,,,,,,,,1.0,,0.0,,0,0.0,,0.0,
18-01-2010,репо,1,short,16:00,0.0,0.0,S0,,,,,,,,,1.0,,0.0,,0,0.0,,0.0,
19-01-2010,репо,1,short,11:30,8060.7,6.05,S0,8060.7,,,,8060.7,6.05,,20-01-2010,1.0,,6.05,,0,0.0,,0.0,
19-01-2010,репо,7,base,13:45,48845.3,6.07,S1,48845.3,,,,48845.3,6.07,,27-01-2010,1.0,,6.07,,0,0.0,,0.0,
19-01-2010,репо,1,short,16:00,0.0,0.0,S0,,,,,,,,,1.0,,0.0,,0,0.0,,0.0,
20-01-2010,репо,1,short,11:30,8468.8,6.07,S0,8468.8,,,,8468.8,6.07,,21-01-2010,1.0,,6.07,,0,0.0,,0.0,
20-01-2010,репо,1,short,16:00,281.7,6.09,S0,281.7,,,,281.7,6.09,,21-01-2010,1.0,,6.09,,0,0.0,,0.0,
21-01-2010,репо,1,short,11:30,6067.3,6.06,S0,6067.3,,,,6067.3,6.06,,22-01-2010,1.0,,6.06,,0,0.0,,0.0,
