auction_date,published_date,document_title,auction_format,issue,security_type,maturity_date,days_to_maturity,offered_amount,demand_amount,placed_amount,proceeds_amount,cutoff_price,weighted_average_price,cutoff_yield,weighted_average_yield,official_coefficient,cover_ratio,placement_ratio,source_url,source_file
13-01-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,24018RMFS,ОФЗ-ПК,27-12-2017,714,10000.0,16517.109999999997,9522.916,9724.43696883,101.55000000000001,101.6562,11.379999999999999,11.31,1.6517109999999997,1.6517109999999997,0.9522915999999999,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
13-01-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26214RMFS,ОФЗ-ПД,27-05-2020,1596,7800.0,17460.237,7800.0,6807.560875,86.35549999999999,86.54039999999999,10.620000000000001,10.56,2.238491923076923,2.238491923076923,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
20-01-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26207RMFS,ОФЗ-ПД,03-02-2027,4032,8000.0,14818.433,8000.0,7079.08842931,84.811,85.0496,10.780000000000001,10.74,1.852304125,1.852304125,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
20-01-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29006RMFS,ОФЗ-ПК,29-01-2025,3297,12000.0,24993.603,12000.0,13082.64,102.58,102.635,14.45,14.44,2.08280025,2.08280025,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
27-01-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29006RMFS,ОФЗ-ПК,29-01-2025,3290,16000.0,26928.29,11189.956,12256.34342117,102.8,102.86489999999999,14.41,14.39,1.683018125,1.683018125,0.69937225,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
27-01-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29011RMFS,ОФЗ-ПК,29-01-2020,1463,14008.257,40995.475,14008.256,15353.88690908,102.655,102.69299999999998,14.000000000000002,13.98,2.9265221933035637,2.9265221933035637,0.9999999286135313,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
03-02-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,2023,15000.0,59937.112,15000.0,13600.92925,88.48,88.6589,10.54,10.489999999999998,3.9958074666666668,3.9958074666666668,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
03-02-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,52001RMFS,ОФЗ-ИН,16-08-2023,2751,12082.41339588,17951.532531,8189.08786632,8269.15775325,99.75,99.87549999999999,2.6599999999999997,2.64,1.4857571863185315,1.4857571863185315,0.6777692169606123,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
10-02-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26207RMFS,ОФЗ-ПД,03-02-2027,4011,10000.0,46158.966,9999.999,9145.14203782,87.31,87.5434,10.34,10.299999999999999,4.6158966,4.6158966,0.9999998999999999,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
10-02-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29006RMFS,ОФЗ-ПК,29-01-2025,3276,15000.0,42150.566,14999.998,15589.99092133,103.8505,103.9333,11.959999999999999,11.940000000000001,2.810037733333333,2.810037733333333,0.9999998666666666,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
