date,liquidity_deficit_surplus_bln_rub_lag_1d,liquidity_deficit_surplus_bln_rub_change_1d,liquidity_deficit_surplus_bln_rub_change_5d,cbr_liquidity_stress_mad_score,cbr_liquidity_drain_mad_score,budget_funds_total_mln_rub_lagged,budget_funds_total_mln_rub_change_lagged,budget_funds_total_mln_rub_pct_change_lagged,budget_funds_rub_mln_rub_lagged,budget_funds_rub_mln_rub_change_lagged,budget_funds_rub_mln_rub_pct_change_lagged,budget_funds_rub_share_lagged,roskazna_auction_day_flag_lag_1d,roskazna_demand_volume_mln_rub_lag_1d,roskazna_cover_ratio_lag_1d,roskazna_bidders_count_lag_1d,roskazna_first_leg_settled_volume_mln_rub,roskazna_second_leg_return_volume_mln_rub,roskazna_net_flow_by_legs_mln_rub,roskazna_first_leg_auctions_count,roskazna_second_leg_auctions_count,roskazna_net_flow_rolling_7d_mln_rub,roskazna_net_flow_rolling_14d_mln_rub,roskazna_net_flow_rolling_30d_mln_rub,roskazna_first_leg_rolling_7d_mln_rub,roskazna_first_leg_rolling_14d_mln_rub,roskazna_first_leg_rolling_30d_mln_rub,roskazna_second_leg_rolling_7d_mln_rub,roskazna_second_leg_rolling_14d_mln_rub,roskazna_second_leg_rolling_30d_mln_rub,roskazna_net_flow_stress_mad_score,Flag_Budget_Drain,days_since_last_roskazna_auction
2014-02-03,,,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
2014-02-04,3899.1,,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
2014-02-05,3803.9,-95.2,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
2014-02-06,3673.8,-130.1,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
2014-02-07,3599.4,-74.4,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
2014-02-10,3478.1,-121.3,,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
2014-02-11,3386.7,-91.4,-512.4,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
2014-02-12,3379.7,-7.0,-424.2,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
2014-02-13,3344.1,-35.6,-329.7,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
2014-02-14,3302.2,-41.9,-297.2,,,42090.0,-5305.0,-0.111931638358,12843.0,-4593.0,-0.263420509291,0.305131860299,0,,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,
