date,auction_type,term_days,auction_time,total_deals_volume,weighted_average_rate,settlement_code,demand_volume,cutoff_rate,min_rate,max_rate,limit_deals_volume,weighted_average_limit_rate,first_leg_date,second_leg_date,cover_ratio
21-11-2002,репо,1,11:00,51.1,4.5,,,,,,,,,22-11-2002,
25-11-2002,репо,1,11:00,96.6,4.75,,,,,,,,,26-11-2002,
10-12-2002,репо,1,11:00,108.5,5.0,,,,,,,,,11-12-2002,
11-12-2002,репо,4,11:00,95.5,4.9,,,,,,,,,15-12-2002,
17-12-2002,репо,0,15:00,0.0,0.0,,,,,,,,,,
18-12-2002,репо,1,15:00,702.2,5.5,,,,,,,,,19-12-2002,
19-12-2002,репо,1,15:00,46.5,5.2,,,,,,,,,20-12-2002,
20-12-2002,репо,3,15:00,2508.4,5.5,,,,,,,,,23-12-2002,
23-12-2002,репо,1,15:00,1297.1,11.39,,,,,,,,,24-12-2002,
24-12-2002,репо,1,15:00,637.5,8.01,,,,,,,,,25-12-2002,
25-12-2002,репо,1,15:00,0.0,0.0,,,,,,,,,,
26-12-2002,репо,1,15:00,1277.8,10.84,,,,,,,,,27-12-2002,
27-12-2002,репо,3,15:00,992.7,11.0,,,,,,,,,30-12-2002,
30-12-2002,репо,5,11:00,3322.5,15.11,,,,,,,,,04-01-2002,
04-01-2003,репо,1,15:00,0.0,0.0,,,,,,,,,,
05-01-2003,репо,3,15:00,0.0,0.0,,,,,,,,,,
08-01-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
09-01-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
10-01-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
13-01-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
14-01-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
15-01-2003,репо,1,15:00,857.7,8.12,,,,,,,,,16-01-2003,
16-01-2003,репо,1,15:00,1001.8,8.25,,,,,,,,,17-01-2003,
17-01-2003,репо,3,15:00,401.7,7.04,,,,,,,,,20-01-2003,
20-01-2003,репо,1,15:00,1806.4,8.33,,,,,,,,,21-01-2003,
21-01-2003,репо,1,15:00,2201.3,10.65,,,,,,,,,22-01-2003,
22-01-2003,репо,1,15:00,2599.3,8.57,,,,,,,,,23-01-2003,
23-01-2003,репо,1,15:00,192.8,9.0,,,,,,,,,24-01-2003,
24-01-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
27-01-2003,репо,1,15:00,50.6,7.5,,,,,,,,,28-01-2003,
28-01-2003,репо,1,15:00,195.7,7.54,,,,,,,,,29-01-2003,
29-01-2003,репо,1,15:00,161.9,7.5,,,,,,,,,30-01-2003,
30-01-2003,репо,1,15:00,71.1,7.5,,,,,,,,,31-01-2003,
31-01-2003,репо,3,15:00,996.0,7.5,,,,,,,,,03-02-2003,
03-02-2003,репо,1,15:00,203.2,7.5,,,,,,,,,04-02-2003,
04-02-2003,репо,1,15:00,203.3,7.5,,,,,,,,,05-02-2003,
05-02-2003,репо,1,15:00,0.0,0.0,,,,,,,,,,
14-02-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
17-02-2003,репо,1,15:00,401.1,7.0,,,,,,,,,18-02-2003,
18-02-2003,репо,1,15:00,301.7,7.0,,,,,,,,,19-02-2003,
19-02-2003,репо,0,11:00,0.0,0.0,,,,,,,,,,
20-02-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
21-02-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
25-02-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
26-02-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
27-02-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
28-02-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
03-03-2003,репо,0,11:00,0.0,0.0,,,,,,,,,,
04-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
05-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
06-03-2003,репо,0,11:00,0.0,0.0,,,,,,,,,,
07-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
11-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
12-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
13-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
14-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
17-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
18-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
19-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
20-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
21-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
24-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
25-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
26-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
27-03-2003,репо,0,15:00,0.0,0.0,,,,,,,,,,
