date,ruonia_rate,transactions_volume,transactions_count,participants_count
01-04-2010,3.24,70.42,,
02-04-2010,3.27,47.61,,
05-04-2010,3.1,54.4,,
06-04-2010,3.03,57.19,,
07-04-2010,3.0,59.69,,
08-04-2010,2.9,51.13,,
09-04-2010,2.95,40.58,,
12-04-2010,3.05,45.38,,
13-04-2010,3.09,61.47,,
14-04-2010,3.16,43.84,,
15-04-2010,3.81,60.39,,
16-04-2010,3.46,52.23,,
19-04-2010,2.9,72.8,,
20-04-2010,3.42,72.38,,
21-04-2010,3.31,75.17,,
22-04-2010,3.3,64.44,,
23-04-2010,2.84,106.21,,
26-04-2010,3.36,105.19,,
27-04-2010,3.2,116.35,,
28-04-2010,3.64,110.11,,
29-04-2010,3.96,55.21,,
30-04-2010,2.91,67.62,,
04-05-2010,2.84,49.98,,
05-05-2010,2.82,65.47,,
06-05-2010,2.85,60.67,,
07-05-2010,2.35,40.32,,
11-05-2010,2.83,43.66,,
12-05-2010,2.27,62.54,,
13-05-2010,2.42,35.11,,
14-05-2010,2.49,26.38,,
17-05-2010,3.06,32.5,,
18-05-2010,2.6,58.55,,
19-05-2010,2.74,69.23,,
20-05-2010,2.7,77.92,,
21-05-2010,2.44,72.29,,
24-05-2010,2.57,54.1,,
25-05-2010,2.54,39.23,,
26-05-2010,2.59,57.87,,
27-05-2010,2.63,47.48,,
28-05-2010,2.75,50.32,,
31-05-2010,2.81,48.0,,
01-06-2010,2.04,20.06,,
02-06-2010,2.34,37.24,,
03-06-2010,2.26,47.06,,
04-06-2010,2.38,54.07,,
07-06-2010,2.6,44.39,,
08-06-2010,2.29,37.08,,
09-06-2010,2.51,50.48,,
10-06-2010,2.41,35.44,,
11-06-2010,2.47,65.25,,
15-06-2010,2.45,71.2,,
16-06-2010,2.52,66.48,,
17-06-2010,2.2,55.48,,
18-06-2010,2.52,48.23,,
21-06-2010,2.57,42.76,,
22-06-2010,2.33,49.25,,
23-06-2010,2.18,43.51,,
24-06-2010,2.25,63.24,,
25-06-2010,2.64,71.09,,
28-06-2010,3.29,80.43,,
29-06-2010,2.6,90.5,,
30-06-2010,2.23,74.35,,
01-07-2010,2.01,85.07,,
02-07-2010,2.41,72.31,,
05-07-2010,2.52,66.61,,
06-07-2010,2.58,54.08,,
07-07-2010,2.45,45.11,,
08-07-2010,2.45,58.23,,
09-07-2010,2.33,45.75,,
12-07-2010,2.49,59.35,,
13-07-2010,2.42,57.44,,
14-07-2010,2.48,71.9,,
15-07-2010,2.48,63.35,,
16-07-2010,2.62,83.62,,
19-07-2010,2.61,79.0,,
