event_date,day_type,tax_name,event_type,event_text,source_release_date,source_file,source_url
15-01-2014,event,Акцизы,payment_deadline,"налогоплательщики , осуществляющие на территории Российской Федерации производство алкогольной продукции (за исключением вин, фруктовых вин, игристых вин (шампанских), натуральных напитков с объемной долей этилового спирта не более 6 процентов объема готовой продукции, изготовленных из виноматериалов, произведенных без добавления этилового спирта) и (или) подакцизной спиртосодержащей продукции, уплачивают авансовый платеж за январь 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
15-01-2014,event,Налог на доходы физических лиц,payment_deadline,"индивидуальные предприниматели и другие лица, занимающиеся частной практикой, уплачивают на основании налогового уведомления авансовый платеж по налогу за октябрь-декабрь 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
15-01-2014,event,Страховые взносы в Пенсионный фонд Российской Федерации,payment_deadline,плательщики страховых взносов на обязательное пенсионное страхование уплачивают ежемесячный обязательный платеж за декабрь 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
15-01-2014,event,Страховые взносы в Федеральный фонд обязательного медицинского страхования,payment_deadline,плательщики страховых взносов на обязательное медицинское страхование уплачивают ежемесячный обязательный платеж за декабрь 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
15-01-2014,event,Страховые взносы в Фонд социального страхования Российской Федерации,reporting_deadline,"плательщики страховых взносов на обязательное социальное страхование на случай временной нетрудоспособности и в связи с материнством представляют расчет по начисленным и уплаченным страховым взносам, а также по расходам на выплату обязательного страхового обеспечения, произведенным в счет уплаты этих страховых взносов, за 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
15-01-2014,event,Страховые взносы в Фонд социального страхования Российской Федерации,payment_deadline,плательщики страховых взносов на обязательное социальное страхование на случай временной нетрудоспособности и в связи с материнством уплачивают ежемесячный обязательный платеж за декабрь 2013 г.;,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,Акцизы,reporting_deadline,"налогоплательщики , уплатившие авансовый платеж акциза по алкогольной и (или) спиртосодержащей продукции, представляют в налоговый орган документы , подтверждающие уплату авансового платежа за январь 2014 г. В целях освобождения от уплаты авансового платежа акциза налогоплательщики представляют в налоговый орган банковскую гарантию и извещение об освобождении от уплаты авансового платежа акциза",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,Водный налог,mixed,налогоплательщики представляют налоговую декларацию и уплачивают налог за IV квартал 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,"Декларирование производства, оборота, использования этилового спирта, алкогольной и спиртосодержащей продукции, использования производственных мощностей",reporting_deadline,"индивидуальные предприниматели , осуществляющие розничную продажу пива и пивных напитков, сидра, пуаре и медовухи представляют декларации об объеме их производства и оборота за IV квартал 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,"Декларирование производства, оборота, использования этилового спирта, алкогольной и спиртосодержащей продукции, использования производственных мощностей",other,"организации , осуществляющие производство, оборот, использование этилового спирта, алкогольной и спиртосодержащей продукции, использование производственных мощностей;",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,Единый налог на вмененный доход для отдельных видов деятельности,reporting_deadline,налогоплательщики представляют налоговую декларацию за IV квартал 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,Косвенные налоги,mixed,"налогоплательщики представляют налоговую декларацию и уплачивают налоги по товарам, принятым на учет в декабре 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,НДС,mixed,"лица, указанные в п. 5 ст. 173 НК РФ, уплачивают налог и представляют налоговую декларацию за IV квартал 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,НДС,mixed,налогоплательщики ( налоговые агенты ) представляют налоговую декларацию и уплачивают 1/3 суммы налога за IV квартал 2013 г.;,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,Налог на игорный бизнес,mixed,налогоплательщики представляют налоговую декларацию и уплачивают налог за декабрь 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,Плата за негативное воздействие на окружающую среду,mixed,природопользователи вносят плату и представляют расчет платы за негативное воздействие на окружающую среду за IV квартал 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,Сбор за пользование объектами водных биологических ресурсов,payment_deadline,налогоплательщики уплачивают регулярный взнос,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,Сведения о среднесписочной численности работников,reporting_deadline,"организации (индивидуальные предприниматели, привлекавшие наемных работников) представляют сведения о среднесписочной численности работников за 2013 год",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-01-2014,event,Упрощенное налоговое декларирование,reporting_deadline,"налогоплательщики по одному или нескольким налогам, не осуществляющие операции, в результате которых происходит движение денежных средств на их счетах в банках (в кассе организации), и не имеющие по этим налогам объектов налогообложения, представляют по данным налогам единую (упрощенную) налоговую декларацию за 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
22-01-2014,event,Налог на прибыль организаций,payment_deadline,налогоплательщики уплачивают налог с доходов в виде процентов по государственным и муниципальным ценным бумагам за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
27-01-2014,event,Акцизы,mixed,"налогоплательщики (кроме имеющих свидетельство о регистрации лица, совершающего операции с прямогонным бензином, и (или) свидетельство о регистрации организации, совершающей операции с денатурированным этиловым спиртом) уплачивают акцизы и представляют налоговую декларацию за декабрь 2013 г.;",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
27-01-2014,event,Акцизы,mixed,"налогоплательщики, имеющие свидетельство о регистрации лица, совершающего операции с прямогонным бензином, и (или) свидетельство о регистрации организации, совершающей операции с денатурированным этиловым спиртом, уплачивают акцизы по прямогонному бензину и денатурированному этиловому спирту и представляют налоговую декларацию за октябрь 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
27-01-2014,event,Единый налог на вмененный доход для отдельных видов деятельности,payment_deadline,налогоплательщики уплачивают единый налог за IV квартал 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
27-01-2014,event,Налог на добычу полезных ископаемых,payment_deadline,налогоплательщики уплачивают налог за декабрь 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
27-01-2014,event,Отчетность по использованию этилового спирта,reporting_deadline,"организация, имеющая свидетельство о регистрации организации, совершающей операции с денатурированным этиловым спиртом, представляет в налоговые органы отчет за декабрь 2013 г. об использовании денатурированного этилового спирта",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-01-2014,event,Налог на прибыль организаций,payment_deadline,"налогоплательщики уплачивают 1-й ежемесячный авансовый платеж по налогу за I квартал 2014 г. (об организациях, уплачивающих только квартальные авансовые платежи, см. ст. 286 НК РФ)",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
31-01-2014,event,Налог на добычу полезных ископаемых,reporting_deadline,налогоплательщики представляют налоговую декларацию за декабрь 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
31-01-2014,event,Налог на доходы физических лиц,other,налоговые агенты при наличии соответствующих обстоятельств письменно сообщают налогоплательщику и налоговому органу о невозможности удержать у налогоплательщика исчисленную сумму налога,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
31-01-2014,event,Регулярные платежи за пользование недрами,mixed,пользователи недр перечисляют платежи и представляют расчеты за IV квартал 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
